77,Device Object-100_4120 Real room temperature setpoint RTs_real-AI18
78,Device Object-100_4120 Request Cooling RC-BI1
79,Device Object-100_4120 Request Heating RH-BI2
80,Device Object-100_4120 Request Manual Control R_FeMo-BI15
81,Device Object-100_4120 Request Manual Service Control R_SeMo-BI4
82,Device Object-100_4120 Request Ventilation RV-BI3
83,Device Object-100_4120 Room Set Temperature RTs-AI7
84,Device Object-100_4120 Room Set Temperature RTs-AO1
85,Device Object-100_4120 Room Temperature RT-AI8
86,Device Object-100_4120 Secondary Air Damper SEC-AI6
87,Device Object-100_4120 Setpoint deviation cooling mode dTC_RT-AI16
88,Device Object-100_4120 Setpoint deviation heating mode dTH_RT-AI15
89,Device Object-100_4120 Simulation running SIM-BI7
90,Device Object-100_4120 User demand auto mode AUTO-BO2
91,Device Object-100_4120 User demand Main Switch ON-BO1
92,Device Object-100_4120 User demand ventilation performance P_vent-AI19
93,Device Object-100_4120 User demand ventilation performance P_vent-AO2
94,Device Object-100_4120 User Presence PRESENCE-BI8
95,Device Object-100_4120 User Release ON -BI6
96,Device Object-100_4120 VOC-AI9
97,Device Object-100_4120 Window Closed WIN-BI9
98,Device Object-113_4120 Ambient air temperature T_Amb-AI14
99,Device Object-113_4120 Anti freezing mode-BI14
100,Device Object-113_4120 Automatic cooling request RCauto-BI12
101,Device Object-113_4120 Automatic heating request RHauto-BI13
102,Device Object-113_4120 Automatic operation AUTO -BI5
103,Device Object-113_4120 Building cooling mode-BO4
104,Device Object-113_4120 Building heating mode-BO3
105,Device Object-113_4120 CO2-AI10
106,Device Object-113_4120 Cooling Valve P_cool-AI3
107,Device Object-113_4120 Error Status ERROR -BI11
108,Device Object-113_4120 Frost temperature T_Frost-AI17
109,Device Object-113_4120 Heat Recovery HRC-AI1
110,Device Object-113_4120 Heating Valve P_heat-AI2
111,Device Object-113_4120 Humidity HUM-AI11
112,Device Object-113_4120 Inlet air temperature T_InL-AI13
113,Device Object-113_4120 Maximum fan speed-AO3
114,Device Object-113_4120 Mixed air temperature T_Mix-AI12
115,Device Object-113_4120 Operation Status OPER-BI10
116,Device Object-113_4120 Performance Exhaust Vent P_exa-AI5
117,Device Object-113_4120 Performance Supply Vent P_supa-AI4
118,Device Object-113_4120 Real room temperature setpoint RTs_real-AI18
119,Device Object-113_4120 Request Cooling RC-BI1
120,Device Object-113_4120 Request Heating RH-BI2
121,Device Object-113_4120 Request Manual Control R_FeMo-BI15
122,Device Object-113_4120 Request Manual Service Control R_SeMo-BI4
123,Device Object-113_4120 Request Ventilation RV-BI3
124,Device Object-113_4120 Room Set Temperature RTs-AI7
125,Device Object-113_4120 Room Set Temperature RTs-AO1
126,Device Object-113_4120 Room Temperature RT-AI8
127,Device Object-113_4120 Secondary Air Damper SEC-AI6
128,Device Object-113_4120 Setpoint deviation cooling mode dTC_RT-AI16
129,Device Object-113_4120 Setpoint deviation heating mode dTH_RT-AI15
130,Device Object-113_4120 Simulation running SIM-BI7
131,Device Object-113_4120 User demand auto mode AUTO-BO2
132,Device Object-113_4120 User demand Main Switch ON-BO1
133,Device Object-113_4120 User demand ventilation performance P_vent-AI19
134,Device Object-113_4120 User demand ventilation performance P_vent-AO2
135,Device Object-113_4120 User Presence PRESENCE-BI8
136,Device Object-113_4120 User Release ON -BI6
137,Device Object-113_4120 VOC-AI9
138,Device Object-113_4120 Window Closed WIN-BI9
139,Device Object-115_4120 Ambient air temperature T_Amb-AI14
140,Device Object-115_4120 Anti freezing mode-BI14
141,Device Object-115_4120 Automatic cooling request RCauto-BI12
142,Device Object-115_4120 Automatic heating request RHauto-BI13
143,Device Object-115_4120 Automatic operation AUTO -BI5
144,Device Object-115_4120 Building cooling mode-BO4
145,Device Object-115_4120 Building heating mode-BO3
146,Device Object-115_4120 CO2-AI10
147,Device Object-115_4120 Cooling Valve P_cool-AI3
148,Device Object-115_4120 Error Status ERROR -BI11
149,Device Object-115_4120 Frost temperature T_Frost-AI17
150,Device Object-115_4120 Heat Recovery HRC-AI1
151,Device Object-115_4120 Heating Valve P_heat-AI2
152,Device Object-115_4120 Humidity HUM-AI11
153,Device Object-115_4120 Inlet air temperature T_InL-AI13
154,Device Object-115_4120 Maximum fan speed-AO3
155,Device Object-115_4120 Mixed air temperature T_Mix-AI12
156,Device Object-115_4120 Operation Status OPER-BI10
157,Device Object-115_4120 Performance Exhaust Vent P_exa-AI5
158,Device Object-115_4120 Performance Supply Vent P_supa-AI4
159,Device Object-115_4120 Real room temperature setpoint RTs_real-AI18
160,Device Object-115_4120 Request Cooling RC-BI1
161,Device Object-115_4120 Request Heating RH-BI2
162,Device Object-115_4120 Request Manual Control R_FeMo-BI15
163,Device Object-115_4120 Request Manual Service Control R_SeMo-BI4
164,Device Object-115_4120 Request Ventilation RV-BI3
165,Device Object-115_4120 Room Set Temperature RTs-AI7
166,Device Object-115_4120 Room Set Temperature RTs-AO1
167,Device Object-115_4120 Room Temperature RT-AI8
168,Device Object-115_4120 Secondary Air Damper SEC-AI6
169,Device Object-115_4120 Setpoint deviation cooling mode dTC_RT-AI16
170,Device Object-115_4120 Setpoint deviation heating mode dTH_RT-AI15
171,Device Object-115_4120 Simulation running SIM-BI7
172,Device Object-115_4120 User demand auto mode AUTO-BO2
173,Device Object-115_4120 User demand Main Switch ON-BO1
174,Device Object-115_4120 User demand ventilation performance P_vent-AI19
175,Device Object-115_4120 User demand ventilation performance P_vent-AO2
176,Device Object-115_4120 User Presence PRESENCE-BI8
177,Device Object-115_4120 User Release ON -BI6
178,Device Object-115_4120 VOC-AI9
179,Device Object-115_4120 Window Closed WIN-BI9
180,Device Object-117_4120 Ambient air temperature T_Amb-AI14
181,Device Object-117_4120 Anti freezing mode-BI14
182,Device Object-117_4120 Automatic cooling request RCauto-BI12
183,Device Object-117_4120 Automatic heating request RHauto-BI13
184,Device Object-117_4120 Automatic operation AUTO -BI5
185,Device Object-117_4120 CO2-AI10
186,Device Object-117_4120 Cooling Valve P_cool-AI3
187,Device Object-117_4120 Error Status ERROR -BI11
188,Device Object-117_4120 Frost temperature T_Frost-AI17
189,Device Object-117_4120 Heat Recovery HRC-AI1
190,Device Object-117_4120 Heating Valve P_heat-AI2
191,Device Object-117_4120 Humidity HUM-AI11
192,Device Object-117_4120 Inlet air temperature T_InL-AI13
193,Device Object-117_4120 Maximum fan speed-AO3
194,Device Object-117_4120 Mixed air temperature T_Mix-AI12
195,Device Object-117_4120 Operation Status OPER-BI10
196,Device Object-117_4120 Performance Exhaust Vent P_exa-AI5
197,Device Object-117_4120 Performance Supply Vent P_supa-AI4
198,Device Object-117_4120 Real room temperature setpoint RTs_real-AI18
199,Device Object-117_4120 Request Cooling RC-BI1
200,Device Object-117_4120 Request Heating RH-BI2
201,Device Object-117_4120 Request Manual Control R_FeMo-BI15
202,Device Object-117_4120 Request Manual Service Control R_SeMo-BI4
203,Device Object-117_4120 Request Ventilation RV-BI3
204,Device Object-117_4120 Room Set Temperature RTs-AI7
205,Device Object-117_4120 Room Set Temperature RTs-AO1
206,Device Object-117_4120 Room Temperature RT-AI8
207,Device Object-117_4120 Secondary Air Damper SEC-AI6
208,Device Object-117_4120 Setpoint deviation cooling mode dTC_RT-AI16
209,Device Object-117_4120 Setpoint deviation heating mode dTH_RT-AI15
210,Device Object-117_4120 Simulation running SIM-BI7
211,Device Object-117_4120 User demand auto mode AUTO-BO2
212,Device Object-117_4120 User demand Main Switch ON-BO1
213,Device Object-117_4120 User demand ventilation performance P_vent-AI19
214,Device Object-117_4120 User demand ventilation performance P_vent-AO2
215,Device Object-117_4120 User Presence PRESENCE-BI8
216,Device Object-117_4120 User Release ON -BI6
217,Device Object-117_4120 VOC-AI9
218,Device Object-117_4120 Window Closed WIN-BI9
219,Device Object-118_4120 Ambient air temperature T_Amb-AI14
220,Device Object-118_4120 Anti freezing mode-BI14
221,Device Object-118_4120 Automatic cooling request RCauto-BI12
222,Device Object-118_4120 Automatic heating request RHauto-BI13
223,Device Object-118_4120 Automatic operation AUTO -BI5
224,Device Object-118_4120 Building cooling mode-BO4
225,Device Object-118_4120 Building heating mode-BO3
226,Device Object-118_4120 CO2-AI10
227,Device Object-118_4120 Cooling Valve P_cool-AI3
228,Device Object-118_4120 Error Status ERROR -BI11
229,Device Object-118_4120 Frost temperature T_Frost-AI17
230,Device Object-118_4120 Heat Recovery HRC-AI1
231,Device Object-118_4120 Heating Valve P_heat-AI2
232,Device Object-118_4120 Humidity HUM-AI11
233,Device Object-118_4120 Inlet air temperature T_InL-AI13
234,Device Object-118_4120 Maximum fan speed-AO3
235,Device Object-118_4120 Mixed air temperature T_Mix-AI12
236,Device Object-118_4120 Operation Status OPER-BI10
237,Device Object-118_4120 Performance Exhaust Vent P_exa-AI5
238,Device Object-118_4120 Performance Supply Vent P_supa-AI4
239,Device Object-118_4120 Real room temperature setpoint RTs_real-AI18
240,Device Object-118_4120 Request Cooling RC-BI1
241,Device Object-118_4120 Request Heating RH-BI2
242,Device Object-118_4120 Request Manual Control R_FeMo-BI15
243,Device Object-118_4120 Request Manual Service Control R_SeMo-BI4
244,Device Object-118_4120 Request Ventilation RV-BI3
245,Device Object-118_4120 Room Set Temperature RTs-AI7
246,Device Object-118_4120 Room Set Temperature RTs-AO1
247,Device Object-118_4120 Room Temperature RT-AI8
248,Device Object-118_4120 Secondary Air Damper SEC-AI6
249,Device Object-118_4120 Setpoint deviation cooling mode dTC_RT-AI16
250,Device Object-118_4120 Setpoint deviation heating mode dTH_RT-AI15
251,Device Object-118_4120 Simulation running SIM-BI7
252,Device Object-118_4120 User demand auto mode AUTO-BO2
253,Device Object-118_4120 User demand Main Switch ON-BO1
254,Device Object-118_4120 User demand ventilation performance P_vent-AI19
255,Device Object-118_4120 User demand ventilation performance P_vent-AO2
256,Device Object-118_4120 User Presence PRESENCE-BI8
257,Device Object-118_4120 User Release ON -BI6
258,Device Object-118_4120 VOC-AI9
259,Device Object-118_4120 Window Closed WIN-BI9
260,Device Object-119_4120 Ambient air temperature T_Amb-AI14
261,Device Object-119_4120 Anti freezing mode-BI14
262,Device Object-119_4120 Automatic cooling request RCauto-BI12
263,Device Object-119_4120 Automatic heating request RHauto-BI13
264,Device Object-119_4120 Automatic operation AUTO -BI5
265,Device Object-119_4120 Building cooling mode-BO4
266,Device Object-119_4120 Building heating mode-BO3
267,Device Object-119_4120 CO2-AI10
268,Device Object-119_4120 Cooling Valve P_cool-AI3
269,Device Object-119_4120 Error Status ERROR -BI11
270,Device Object-119_4120 Frost temperature T_Frost-AI17
271,Device Object-119_4120 Heat Recovery HRC-AI1
272,Device Object-119_4120 Heating Valve P_heat-AI2
273,Device Object-119_4120 Humidity HUM-AI11
274,Device Object-119_4120 Inlet air temperature T_InL-AI13
275,Device Object-119_4120 Maximum fan speed-AO3
276,Device Object-119_4120 Mixed air temperature T_Mix-AI12
277,Device Object-119_4120 Operation Status OPER-BI10
278,Device Object-119_4120 Performance Exhaust Vent P_exa-AI5
279,Device Object-119_4120 Performance Supply Vent P_supa-AI4
280,Device Object-119_4120 Real room temperature setpoint RTs_real-AI18
281,Device Object-119_4120 Request Cooling RC-BI1
282,Device Object-119_4120 Request Heating RH-BI2
283,Device Object-119_4120 Request Manual Control R_FeMo-BI15
284,Device Object-119_4120 Request Manual Service Control R_SeMo-BI4
285,Device Object-119_4120 Request Ventilation RV-BI3
286,Device Object-119_4120 Room Set Temperature RTs-AI7
287,Device Object-119_4120 Room Set Temperature RTs-AO1
288,Device Object-119_4120 Room Temperature RT-AI8
289,Device Object-119_4120 Secondary Air Damper SEC-AI6
290,Device Object-119_4120 Setpoint deviation cooling mode dTC_RT-AI16
291,Device Object-119_4120 Setpoint deviation heating mode dTH_RT-AI15
292,Device Object-119_4120 Simulation running SIM-BI7
293,Device Object-119_4120 User demand auto mode AUTO-BO2
294,Device Object-119_4120 User demand Main Switch ON-BO1
295,Device Object-119_4120 User demand ventilation performance P_vent-AI19
296,Device Object-119_4120 User demand ventilation performance P_vent-AO2
297,Device Object-119_4120 User Presence PRESENCE-BI8
298,Device Object-119_4120 User Release ON -BI6
299,Device Object-119_4120 VOC-AI9
300,Device Object-119_4120 Window Closed WIN-BI9
301,Device Object-120_4120 Ambient air temperature T_Amb-AI14
302,Device Object-120_4120 Anti freezing mode-BI14
303,Device Object-120_4120 Automatic cooling request RCauto-BI12
304,Device Object-120_4120 Automatic heating request RHauto-BI13
305,Device Object-120_4120 Automatic operation AUTO -BI5
306,Device Object-120_4120 Building cooling mode-BO4
307,Device Object-120_4120 Building heating mode-BO3
308,Device Object-120_4120 CO2-AI10
309,Device Object-120_4120 Cooling Valve P_cool-AI3
310,Device Object-120_4120 Error Status ERROR -BI11
311,Device Object-120_4120 Frost temperature T_Frost-AI17
312,Device Object-120_4120 Heat Recovery HRC-AI1
313,Device Object-120_4120 Heating Valve P_heat-AI2
